prioridade,tipo_pendencia,municipio,local_votacao_original,local_votacao_padronizado,endereco,consulta_geocoding_original,registros_afetados,score_similaridade,status_match,status_geocodificacao_atual,latitude_curadoria,longitude_curadoria,bairro_curadoria,status_curadoria,fonte_validacao,responsavel,data_validacao,observacao_curadoria
PRIORIDADE_1,CONJUNTO_HABITACIONAL,MACEIO,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,"CONJ. SALVADOR LIRA, S/N","CONJ. SALVADOR LIRA, S/N, Maceio, Alagoas, Brasil",594,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,MACEIO,ESCOLA DE ENS. FUND. NOSSO LAR I,ESCOLA DE ENS. FUND. NOSSO LAR I,"RUA SAMPAIO DORIA, S/N","RUA SAMPAIO DORIA, S/N, Maceio, Alagoas, Brasil",467,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,PENEDO,COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO,COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO,"RUA CASTRO ALVES, S/N, EM FRENTE A CODEVASF","RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF, Penedo, Alagoas, Brasil",431,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,"AV. JOAO LYRA FILHO, S/N","AV. JOÃO LYRA FILHO, S/N, Uniao Dos Palmares, Alagoas, Brasil",426,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,RUA JOSE C. DE FARIAS,"RUA JOSÉ C. DE FARIAS, Arapiraca, Alagoas, Brasil",399,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,ARAPIRACA,ESCOLA DE 1 GRAU MANOEL ANDRÉ,ESCOLA DE 1 GRAU MANOEL ANDRE,AV. JOSE LUCIO DA SILVA S/N,"AV. JOSE LÚCIO DA SILVA S/N, Arapiraca, Alagoas, Brasil",395,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,SITIO,MACEIO,ESC. EST. MIRAN MARROQUIM,ESC. EST. MIRAN MARROQUIM,"RUA DA LIBERDADE, S/N - PIABAS","RUA DA LIBERDADE, S/N - PIABAS, Maceio, Alagoas, Brasil",381,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,MACEIO,E.M. JAYME DE ALTAVILLA,E.M. JAYME DE ALTAVILLA,"RUA DILERMANO REIS, S/N, LOT SANTA LUCIA","RUA DILERMANO REIS, S/N, LOT SANTA LUCIA, Maceio, Alagoas, Brasil",359,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,ESCOLA DE 1 GRAU PARQUE LIONS,RUA GOV. AFRANIO LAGES S/N,"RUA GOV. AFRÂNIO LAGES S/N, Arapiraca, Alagoas, Brasil",357,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,ESCOLA_URBANA_OU_SEDE,MACEIO,ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO,ESCOLA ESTADUAL PROFa. MARIA SALETE GUSMAO DE ARAUJO,"CJ. OSMAN LOUREIRO, QD A","CJ. OSMAN LOUREIRO, QD A, Maceio, Alagoas, Brasil",353,0.9434,MATCH_PROVAVEL,NAO_ENCONTRADO,,,,PENDENTE,,,,
PRIORIDADE_1,POVOADO,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,"POVOADO CANAÃ S/N, Arapiraca, Alagoas, Brasil",329,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,,,
